Date,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8
2024.10.27 04:36:00,2947,2297,2285,2387,2711,2616,2813,2375
2024.10.27 04:36:30,2640,2302,2863,2829,2955,2765,2272,2942
2024.10.27 04:37:00,2061,2715,2585,2603,2420,2675,2775,2598
2024.10.27 04:37:30,2886,2554,2134,2817,2571,2987,2977,2355
2024.10.27 04:38:00,2733,2238,2090,2989,2727,2810,2800,2538
2024.10.27 04:38:30,2145,2790,2680,2471,2817,2062,2379,2692
2024.10.27 04:39:00,2494,2946,2971,2082,2632,2885,2052,2914
2024.10.27 04:39:30,2144,2080,2309,2594,2515,2301,2148,2478
2024.10.27 04:40:00,2478,2061,2259,2223,2462,2789,2603,2247
2024.10.27 04:40:30,2849,2891,2925,2865,2124,2587,2668,2805
2024.10.27 04:41:14,2459,2049,2496,2357,2803,2403,2987,2780
2024.10.27 04:42:30,2088,2409,2158,2650,2032,2304,2755,2210
2024.10.27 04:43:00,2087,2241,2635,2561,2925,2903,2132,2354
2024.10.27 04:43:30,2957,2832,2477,2650,2288,2731,2348,2042
2024.10.27 04:44:00,2644,2292,2562,2556,2257,2418,2825,2736
2024.10.27 04:44:30,2048,2382,2707,2920,2307,2708,2923,2605
2024.10.27 04:45:00,2212,2587,2220,2160,2437,2651,2445,2207
2024.10.27 04:45:30,2599,2986,2374,2353,2921,2072,2200,2685
2024.10.27 04:46:00,2431,2040,2462,2669,2288,2296,2704,2871
2024.10.27 04:46:30,2877,2461,2541,2979,2151,2752,2067,2844
2024.10.27 04:47:00,2371,2983,2396,2034,2372,2968,2847,2808
2024.10.27 04:47:30,2349,2519,2922,2425,2489,2654,2913,2784
2024.10.27 04:48:00,2915,2892,2082,2981,2296,2864,2689,2095
2024.10.27 04:48:30,2798,2194,2246,2155,2981,2327,2027,2629
2024.10.27 04:49:00,2595,2538,2357,2982,2906,2232,2679,2506
2024.10.27 04:49:30,2627,2515,2650,2032,2323,2237,2272,2810
2024.10.27 04:50:00,2812,2114,2195,2620,2305,2194,2176,2053
2024.10.27 04:50:30,2670,2624,2418,2361,2517,2148,2310,2951
2024.10.27 04:51:00,2733,2010,2903,2439,2885,2761,2314,2773
2024.10.27 04:51:30,2725,2341,2842,2852,2159,2211,2957,2936
2024.10.27 04:52:00,2076,2174,2848,2683,2424,2601,2935,2435
2024.10.27 04:52:30,2324,2285,2666,2285,2350,2724,2865,2810
2024.10.27 04:53:00,2966,2465,2634,2775,2640,2008,2926,2593
2024.10.27 04:53:30,2696,2376,2016,2993,2127,2595,2432,2595
2024.10.27 04:54:00,2445,2737,2613,2586,2215,2853,2913,2725
2024.10.27 04:54:30,2640,2849,2428,2014,2014,2835,2920,2250
2024.10.27 04:55:00,2735,2708,2744,2014,2753,2001,2958,2449
2024.10.27 04:55:30,2722,2319,2127,2784,2396,2172,2246,2517
2024.10.27 04:56:00,2101,2567,2495,2125,2254,2759,2764,2535
2024.10.27 04:56:30,2322,2844,2836,2959,2977,2838,2745,2128
2024.10.27 04:57:00,2676,2191,2893,2405,2897,2203,2358,2409
2024.10.27 04:57:30,2922,2040,2913,2880,2540,2875,2181,2745
2024.10.27 04:58:00,2762,2915,2137,2685,2215,2205,2570,2896
2024.10.27 04:58:30,2274,2445,2694,2824,2719,2145,2446,2834
2024.10.27 04:59:00,2590,2904,2434,2017,2725,2143,2608,2368
2024.10.27 04:59:30,2923,2290,2315,2806,2269,2933,2105,2706
2024.10.27 05:00:00,2048,2007,2284,2915,2248,2380,2662,2594
2024.10.27 05:00:30,2755,2624,2199,2236,2039,2199,2711,2585
2024.10.27 05:01:00,2348,2207,2553,2429,2385,2650,2641,2373
2024.10.27 05:01:30,2897,2547,2157,2949,2988,2805,2471,2688
2024.10.27 05:02:00,2960,2604,2154,2162,2507,2384,2248,2239
2024.10.27 05:02:30,2704,2792,2511,2820,2693,2842,2794,2814
2024.10.27 05:03:00,2404,2667,2901,2103,2987,2838,2619,2752
2024.10.27 05:03:30,2324,2426,2898,2342,2772,2063,2672,2612
2024.10.27 05:04:00,2217,2112,2202,2501,2674,2889,2016,2629
2024.10.27 05:04:30,2294,2594,2219,2103,2523,2680,2743,2707
2024.10.27 05:05:00,2602,2371,2009,2811,2224,2831,2825,2238
2024.10.27 05:05:30,2661,2200,2800,2168,2916,2347,2726,2053
2024.10.27 05:06:00,2557,2509,2246,2558,2425,2375,2165,2829
2024.10.27 05:06:30,2031,2707,2909,2088,2737,2187,2213,2327
2024.10.27 05:07:00,2649,2822,2904,2149,2735,2212,2343,2496
2024.10.27 05:07:30,2966,2385,2188,2615,2464,2950,2157,2531
2024.10.27 05:08:00,2531,2440,2909,2681,2840,2912,2732,2829
2024.10.27 05:08:30,2334,2864,2288,2007,2191,2974,2338,2500
2024.10.27 05:09:00,2133,2929,2813,2854,2079,2880,2463,2670
2024.10.27 05:09:30,2156,2472,2461,2231,2977,2579,2737,2795
2024.10.27 05:10:00,2643,2265,2428,2028,2248,2862,2997,2882
2024.10.27 05:10:30,2695,2543,2783,2522,2592,2394,2979,2702
2024.10.27 05:11:00,2259,2691,2116,2411,2741,2041,2921,2357
2024.10.27 05:11:30,2443,2436,2526,2683,2042,2175,2903,2380
2024.10.27 05:12:00,2089,2937,2142,2929,2198,2458,2961,2047
2024.10.27 05:12:30,2361,2343,2391,2568,2827,2081,2483,2972
2024.10.27 05:13:00,2241,2912,2606,2641,2210,2466,2281,2392
2024.10.27 05:13:30,2844,2784,2382,2435,2963,2148,2900,2200
2024.10.27 05:14:00,2763,2972,2651,2762,2101,2948,2661,2062
2024.10.27 05:14:30,2795,2069,2655,2300,2474,2006,2161,2872
2024.10.27 05:15:00,2979,2281,2765,2668,2454,2048,2214,2021
2024.10.27 05:15:30,2952,2784,2839,2577,2653,2365,2523,2684
