Date,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8
2024.10.24 07:30:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:30:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:31:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:31:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:32:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:32:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:33:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:33:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:34:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:34:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:35:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:35:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:36:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:36:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:37:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:37:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:38:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:38:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:39:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:39:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:40:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:40:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:41:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:41:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:42:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:42:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:43:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:43:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:44:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:44:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:45:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:45:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:46:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:46:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:47:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:47:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:48:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:48:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:49:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:49:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:50:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:50:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:51:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:51:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:52:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:52:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:53:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:53:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:54:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:54:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:55:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:55:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:56:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:56:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:57:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:57:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:58:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:58:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:59:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 07:59:30,255,456,3120,5543,6512,23,8769,19821
2024.10.24 08:00:00,255,456,3120,5543,6512,23,8769,19821
2024.10.24 10:57:30,40,40,40,40,40,40,40,40
2024.10.24 10:58:00,55,55,55,55,55,55,55,55
2024.10.24 10:58:30,70,70,70,70,70,70,70,70
2024.10.24 10:59:00,85,85,85,85,85,85,85,85
2024.10.24 10:59:30,100,100,100,100,100,100,100,100
2024.10.24 11:00:00,115,115,115,115,115,115,115,115
2024.10.24 11:00:30,130,130,130,130,130,130,130,130
2024.10.24 11:01:00,145,145,145,145,145,145,145,145
2024.10.24 11:01:30,160,160,160,160,160,160,160,160
2024.10.24 11:02:00,175,175,175,175,175,175,175,175
2024.10.24 11:02:30,190,190,190,190,190,190,190,190
2024.10.24 11:03:00,205,205,205,205,205,205,205,205
2024.10.24 11:03:30,220,220,220,220,220,220,220,220
2024.10.24 11:04:00,235,235,235,235,235,235,235,235
2024.10.24 11:04:30,250,250,250,250,250,250,250,250
2024.10.24 11:05:00,265,265,265,265,265,265,265,265
2024.10.24 11:05:30,279,279,279,279,279,279,279,279
