Date,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8
2024.10.26 20:24:00,2621,2383,2834,2619,2939,2372,2640,2816
2024.10.26 20:24:30,2327,2732,2611,2085,2625,2188,2659,2354
2024.10.26 20:25:00,2306,2012,2752,2209,2370,2050,2269,2698
2024.10.26 20:25:30,2426,2203,2326,2083,2709,2701,2281,2941
2024.10.26 20:26:00,2119,2718,2017,2493,2530,2289,2431,2919
2024.10.26 20:26:30,2661,2194,2662,2755,2894,2624,2028,2491
2024.10.26 20:27:00,2181,2821,2567,2067,2291,2546,2712,2897
2024.10.26 20:27:30,2122,2447,2961,2343,2824,2616,2728,2902
2024.10.26 20:28:00,2376,2110,2537,2288,2916,2725,2436,2669
2024.10.26 20:28:30,2989,2676,2349,2051,2057,2193,2588,2159
2024.10.26 20:29:00,2838,2056,2097,2452,2895,2892,2683,2131
2024.10.26 20:29:30,2910,2751,2415,2963,2726,2799,2420,2114
2024.10.26 20:30:00,2855,2585,2922,2516,2924,2171,2609,2249
2024.10.26 20:30:30,2466,2690,2670,2678,2276,2812,2202,2603
2024.10.26 20:31:00,2680,2516,2993,2896,2905,2681,2199,2021
2024.10.26 20:31:30,2353,2437,2630,2423,2844,2061,2985,2228
2024.10.26 20:32:00,2146,2082,2247,2155,2467,2815,2380,2744
2024.10.26 20:32:30,2648,2901,2509,2301,2545,2136,2345,2188
2024.10.26 20:33:00,2590,2780,2422,2973,2317,2626,2538,2895
2024.10.26 20:33:30,2022,2223,2394,2571,2176,2770,2971,2906
2024.10.26 20:34:00,2621,2007,2010,2206,2549,2655,2950,2231
2024.10.26 20:34:30,2341,2735,2315,2345,2401,2027,2150,2146
2024.10.26 20:35:00,2038,2632,2549,2198,2776,2388,2047,2982
2024.10.26 20:35:30,2267,2272,2886,2373,2964,2966,2508,2113
2024.10.26 20:36:00,2703,2453,2460,2589,2567,2013,2942,2204
2024.10.26 20:36:30,2784,2904,2257,2073,2156,2229,2970,2265
2024.10.26 20:37:00,2266,2766,2050,2161,2125,2416,2962,2831
2024.10.26 20:37:30,2200,2880,2313,2058,2474,2469,2944,2960
2024.10.26 20:38:00,2718,2539,2595,2389,2320,2365,2442,2801
2024.10.26 20:38:30,2383,2699,2165,2672,2832,2690,2613,2769
2024.10.26 20:39:00,2071,2735,2210,2145,2032,2933,2724,2414
2024.10.26 20:39:30,2633,2396,2508,2810,2286,2338,2027,2512
2024.10.26 20:40:00,2093,2138,2336,2677,2585,2305,2496,2615
2024.10.26 20:40:30,2288,2618,2503,2976,2734,2699,2243,2978
2024.10.26 20:41:00,2070,2319,2590,2216,2684,2691,2841,2367
2024.10.26 20:41:30,2895,2394,2340,2502,2722,2664,2473,2666
2024.10.26 20:42:00,2533,2146,2686,2353,2515,2214,2114,2220
2024.10.26 20:42:30,2847,2403,2376,2011,2617,2053,2307,2950
2024.10.26 20:43:01,2232,2756,2149,2763,2654,2909,2816,2715
2024.10.26 20:43:31,2108,2645,2471,2548,2389,2270,2936,2696
2024.10.26 20:44:00,2541,2580,2446,2349,2420,2293,2418,2203
2024.10.26 20:44:30,2225,2741,2044,2196,2995,2424,2574,2525
2024.10.26 20:45:00,2045,2926,2668,2925,2354,2236,2948,2317
2024.10.26 20:45:30,2330,2427,2609,2168,2942,2161,2110,2526
2024.10.26 20:46:00,2450,2033,2956,2660,2531,2261,2667,2712
2024.10.26 20:46:30,2174,2073,2099,2723,2252,2502,2377,2165
2024.10.26 20:47:00,2724,2532,2508,2340,2092,2455,2891,2212
2024.10.26 20:47:30,2810,2679,2395,2889,2207,2718,2449,2200
2024.10.26 20:48:00,2439,2379,2729,2258,2294,2120,2453,2199
2024.10.26 20:48:30,2833,2193,2962,2062,2832,2167,2321,2748
2024.10.26 20:49:00,2556,2723,2932,2523,2324,2518,2415,2765
2024.10.26 20:49:30,2651,2430,2350,2933,2931,2096,2175,2653
2024.10.26 20:50:00,2537,2651,2500,2924,2555,2413,2568,2963
2024.10.26 20:50:30,2918,2801,2975,2807,2983,2533,2023,2779
2024.10.26 20:51:00,2973,2504,2961,2301,2774,2360,2624,2268
2024.10.26 20:51:30,2837,2735,2031,2328,2502,2195,2864,2759
2024.10.26 20:52:00,2415,2742,2535,2721,2829,2732,2995,2887
2024.10.26 20:52:30,2116,2494,2914,2470,2300,2010,2035,2811
2024.10.26 20:53:00,2851,2964,2951,2471,2779,2534,2430,2683
2024.10.26 20:53:30,2332,2418,2490,2104,2885,2901,2904,2379
2024.10.26 20:54:00,2256,2766,2489,2506,2043,2834,2390,2261
2024.10.26 20:54:30,2923,2865,2983,2598,2609,2018,2692,2956
2024.10.26 20:55:00,2315,2956,2450,2910,2999,2673,2150,2801
2024.10.26 20:55:30,2493,2159,2230,2191,2921,2050,2275,2810
2024.10.26 20:56:00,2926,2433,2035,2840,2142,2222,2504,2203
2024.10.26 20:56:30,2066,2763,2474,2165,2528,2253,2974,2976
2024.10.26 20:57:00,2070,2923,2533,2034,2061,2790,2891,2927
